year,country,EAR,ROA,LLR,LIQ,AG,WFS,SFP,CDL,frag_capital,frag_profit,frag_assetq,frag_liquidity,stress_score,y_true,y_alt,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1,prev_y,prev_target,Assets_Growth_(YoY),Loans_Growth_(YoY),Deposits_Growth_(YoY),FX_Liabilities_Growth_(YoY),Funding_Cost_Proxy,Asset_Yield_Proxy,Net_Interest_Spread_Proxy,FX_Liabilities_Share,Liquidity_Buffer_Change_(Δ_YoY)
2004,Botswana,0.488396417,0,0,0.051070586,,0.028009262,0.488396417,0,0,1,0,1,2,1,1,,,,,,,,,,,3.199933329,0,-3.199933329,,
2005,Botswana,0.555562398,0.018403298,,0,0.424034526,0.102997664,0.555562398,0,0,0,0,1,1,0,1,0.488396417,0,0,0.051070586,1,1,0.424034526,-1,,,0.854397597,,,,-0.051070586
2006,Botswana,0.637595591,0.105454336,0,0.143944405,0.384285406,0.059387177,0.637595591,0,0,0,0,1,1,0,1,0.555562398,0.018403298,,0,0,0,0.384285406,,,,1.617453404,0,-1.617453404,,0.143944405
2007,Botswana,0.647671606,0.055717662,0,0.248405951,0.218744683,0.051444216,0.647671606,0,0,0,0,0,0,0,0,0.637595591,0.105454336,0,0.143944405,0,0,0.218744683,0.099241733,,,1.78258012,0,-1.78258012,,0.104461546
2008,Botswana,0.669860697,0.171058654,0,0.147526175,0.170764277,0.065022496,0.669860697,0,0,0,0,1,1,0,1,0.647671606,0.055717662,0,0.248405951,0,0,0.170764277,0.171526203,,,1.438798576,0,-1.438798576,,-0.100879776
2009,Botswana,0.594955394,0,0,0.124303835,-0.155016674,0.070338776,0.594955394,0,0,1,0,1,2,1,1,0.669860697,0.171058654,0,0.147526175,0,0,-0.155016674,0.088635372,,,0.994634334,0,-0.994634334,,-0.02322234
2010,Botswana,0.486496055,0,0,0.097390794,-0.120364989,0.088950581,0.486496055,0,0,1,0,1,2,1,1,0.594955394,0,0,0.124303835,1,1,-0.120364989,-0.006372776,,,0.535893948,0,-0.535893948,,-0.026913041
2011,Botswana,,0,,,-1,,,,0,1,0,0,1,0,1,0.486496055,0,0,0.097390794,1,1,-1,-1,,,,,,,
2012,Botswana,0.63349576,0.184552313,0,0,,0.187681815,0.63349576,0,0,0,0,1,1,0,1,,0,,,0,0,,,,,0.133970942,0,-0.133970942,,
2013,Botswana,0.800978872,0,,0,0.331734064,0,0.800978872,0,0,1,0,1,2,1,1,0.63349576,0.184552313,0,0,0,0,0.331734064,-1,,,,,,,0
2014,Botswana,0.772657627,0.049294386,0,0,0.07204468,0.227617316,0.772657627,0,0,0,0,1,1,0,1,0.800978872,0,,0,1,1,0.07204468,,,,0.044373779,0,-0.044373779,,0
2015,Botswana,,0.213865504,0,,-1,,,,0,0,0,0,0,0,0,0.772657627,0.049294386,0,0,0,0,-1,0.058715744,,,0.070538812,0,-0.070538812,,
2016,Botswana,0.7183153,0.036169267,0,0,,0.116975475,0.7183153,0,0,0,0,1,1,0,1,,0.213865504,0,,0,0,,0.128473345,,,0.036193304,0,-0.036193304,,
2017,Botswana,0.768034155,0.009735538,0,0,-0.042048122,0.156197195,0.768034155,0,0,0,0,1,1,0,1,0.7183153,0.036169267,0,0,0,0,-0.042048122,0.11445377,,,0.037354354,0,-0.037354354,,0
2018,Botswana,0.67194927,0.039111401,0,0,-0.029337065,0.122734873,0.67194927,0,0,0,0,1,1,0,1,0.768034155,0.009735538,0,0,0,0,-0.029337065,0.623924386,,,0.038935682,0,-0.038935682,,0
2019,Botswana,0.627906302,0.100495433,0,0,-0.085384032,0.119379514,0.627906302,0,0,0,0,1,1,0,1,0.67194927,0.039111401,0,0,0,0,-0.085384032,0.300860479,,,0.055199416,0,-0.055199416,,0
2020,Botswana,0.593717884,0.146332545,0,0,-0.174094378,0.082462883,0.593717884,0,0,0,0,1,1,0,1,0.627906302,0.100495433,0,0,0,0,-0.174094378,0.158115528,,,0.06094428,0,-0.06094428,,0
2021,Botswana,0.649832623,0.099098449,0,0,0.049290106,0.080875818,0.649832623,0,0,0,0,1,1,0,1,0.593717884,0.146332545,0,0,0,0,0.049290106,0.094389774,,,0.039243496,0,-0.039243496,,0
2022,Botswana,0.703397436,0,0,0.105826595,-0.015129715,0.226443428,0.703397436,0,0,1,0,1,2,1,1,0.649832623,0.099098449,0,0,0,0,-0.015129715,48.03756086,,,0.01860599,0,-0.01860599,,0.105826595
2023,Botswana,0.617090699,0.131675734,0,0.095937624,0.166278265,0.223493445,0.617090699,0,0,0,0,1,1,0,1,0.703397436,0,0,0.105826595,1,1,0.166278265,-0.140230645,,,0.030311752,0,-0.030311752,,-0.00988897
2024,Botswana,,0,,,,,,,0,1,0,0,1,0,1,0.617090699,0.131675734,0,0.095937624,0,0,,,,,,,,,
2004,Malawi,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2005,Malawi,0,0,0,,,0,,0.122819951,1,1,0,0,2,1,1,,,,,0,0,,,,,0,0,0,,
2006,Malawi,0,0,0,,,0,,0.080217961,1,1,0,0,2,1,1,0,0,0,,1,1,,-0.409302326,-0.448902227,,0,0,0,,0
2007,Malawi,,0,,,,,,,0,1,0,0,1,0,1,0,0,0,,1,1,,-1,-1,,,,,,
2008,Malawi,0,0.016016127,0,,,0,,0.146809619,1,0,0,0,1,0,1,,0,,,0,0,,,,,0,0,0,,
2009,Malawi,0.207377194,0.020978031,0,,,0,,0.139684139,0,0,0,0,0,0,0,0,0.016016127,0,,0,0,,0.392356688,0,,0,0,0,,-0.006251355
2010,Malawi,0.190777397,0.011504762,0,,,0,,0.138340758,0,0,0,0,0,0,0,0.207377194,0.020978031,0,,0,0,,0.004574565,0.19726805,,0,0,0,,-0.006133243
2011,Malawi,0.179970222,0.001691934,,,,0,,0.023020285,0,0,0,0,0,0,0,0.190777397,0.011504762,0,,0,0,,-1,-0.807131921,,0,,,,-0.00034455
2012,Malawi,0.108165889,0,0,,,0,,0.086347044,0,1,0,0,1,0,1,0.179970222,0.001691934,,,0,0,,,4.875800256,,0,0,0,,0.001455829
2013,Malawi,0.087020103,0.003265666,0,,,0,,0.191268268,0,0,0,0,0,0,0,0.108165889,0,0,,0,0,,1.115745568,0.350098061,,0.208309123,26.42779694,26.21948782,,0.002186866
2014,Malawi,0.094102946,0.049728537,0,,,0,,0.377698342,0,0,0,0,0,0,0,0.087020103,0.003265666,0,,0,0,,0.474125185,1.981083349,,0.026140252,19.66131729,19.63517703,,0.00242537
2015,Malawi,0.158979306,0.11495612,0,,,0,,0.100668194,0,0,0,0,0,0,0,0.094102946,0.049728537,0,,0,0,,1.787362086,-0.285117166,,0.056302827,5.670265083,5.613962257,,0.004271128
2016,Malawi,0.119453928,0.031167174,0,,,0,,0.00775568,0,0,0,0,0,0,0,0.158979306,0.11495612,0,,0,0,,0.431330215,-0.891468993,,7.459595255,10.09938825,2.639792996,,0.021805762
