year,country,EAR,ROA,LLR,LIQ,AG,WFS,SFP,CDL,frag_capital,frag_profit,frag_assetq,frag_liquidity,stress_score,y_true,y_alt,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1,prev_y
2004,Botswana,0.4883964169309692,0.0,0.0,0.0510705860156997,,0.028009261697705515,0.4883964169309692,0.0,0,1,0,1,2,1,1,,,,,
2005,Botswana,0.5555623982607525,0.018403298493497127,,0.0,0.4240345263219438,0.10299766423146713,0.5555623982607525,0.0,0,0,0,1,1,0,1,0.4883964169309692,0.0,0.0,0.0510705860156997,1.0
2006,Botswana,0.6375955908313825,0.10545433574205286,0.0,0.1439444050110018,0.38428540640493836,0.05938717725627428,0.6375955908313825,0.0,0,0,0,1,1,0,1,0.5555623982607525,0.018403298493497127,,0.0,0.0
2007,Botswana,0.6476716061039817,0.05571766193645199,0.0,0.24840595093975315,0.2187446829834614,0.051444216492258645,0.6476716061039817,0.0,0,0,0,0,0,0,0,0.6375955908313825,0.10545433574205286,0.0,0.1439444050110018,0.0
2008,Botswana,0.6698606972636909,0.17105865363922243,0.0,0.1475261745938486,0.17076427668083904,0.06502249615098202,0.6698606972636909,0.0,0,0,0,1,1,0,1,0.6476716061039817,0.05571766193645199,0.0,0.24840595093975315,0.0
2009,Botswana,0.5949553940631568,0.0,0.0,0.12430383451693798,-0.1550166735921934,0.07033877552509117,0.5949553940631568,0.0,0,1,0,1,2,1,1,0.6698606972636909,0.17105865363922243,0.0,0.1475261745938486,0.0
2010,Botswana,0.48649605511521704,0.0,0.0,0.0973907937097833,-0.12036498863286371,0.0889505813708058,0.48649605511521704,0.0,0,1,0,1,2,1,1,0.5949553940631568,0.0,0.0,0.12430383451693798,1.0
2011,Botswana,,0.0,,,-1.0,,,,0,1,0,0,1,0,1,0.48649605511521704,0.0,0.0,0.0973907937097833,1.0
2012,Botswana,0.633495760344998,0.18455231300359456,0.0,0.0,,0.1876818147931394,0.633495760344998,0.0,0,0,0,1,1,0,1,,0.0,,,0.0
2013,Botswana,0.8009788720854032,0.0,,0.0,0.3317340635571824,0.0,0.8009788720854032,0.0,0,1,0,1,2,1,1,0.633495760344998,0.18455231300359456,0.0,0.0,0.0
2014,Botswana,0.7726576265019514,0.04929438590952281,0.0,0.0,0.07204468030263467,0.22761731576874852,0.7726576265019514,0.0,0,0,0,1,1,0,1,0.8009788720854032,0.0,,0.0,1.0
2015,Botswana,,0.21386550354318806,0.0,,-1.0,,,,0,0,0,0,0,0,0,0.7726576265019514,0.04929438590952281,0.0,0.0,0.0
2016,Botswana,0.7183153001261681,0.03616926680840908,0.0,0.0,,0.1169754751998858,0.7183153001261681,0.0,0,0,0,1,1,0,1,,0.21386550354318806,0.0,,0.0
2017,Botswana,0.768034154941136,0.009735537924899746,0.0,0.0,-0.04204812232968358,0.15619719526168938,0.768034154941136,0.0,0,0,0,1,1,0,1,0.7183153001261681,0.03616926680840908,0.0,0.0,0.0
2018,Botswana,0.6719492697134621,0.03911140084814987,0.0,0.0,-0.029337065125732753,0.1227348730433795,0.6719492697134621,0.0,0,0,0,1,1,0,1,0.768034154941136,0.009735537924899746,0.0,0.0,0.0
2019,Botswana,0.6279063018666206,0.10049543284148961,0.0,0.0,-0.08538403224081548,0.1193795141014987,0.6279063018666206,0.0,0,0,0,1,1,0,1,0.6719492697134621,0.03911140084814987,0.0,0.0,0.0
2020,Botswana,0.5937178842850706,0.14633254460326311,0.0,0.0,-0.1740943777861882,0.08246288293461089,0.5937178842850706,0.0,0,0,0,1,1,0,1,0.6279063018666206,0.10049543284148961,0.0,0.0,0.0
2021,Botswana,0.6498326234728554,0.09909844944908924,0.0,0.0,0.04929010594838523,0.0808758181625788,0.6498326234728554,0.0,0,0,0,1,1,0,1,0.5937178842850706,0.14633254460326311,0.0,0.0,0.0
2022,Botswana,0.7033974359497902,0.0,0.0,0.10582659464640452,-0.015129714732035393,0.22644342784324387,0.7033974359497902,0.0,0,1,0,1,2,1,1,0.6498326234728554,0.09909844944908924,0.0,0.0,0.0
2023,Botswana,0.6170906988169678,0.1316757338367247,0.0,0.09593762414848299,0.1662782651375483,0.22349344458711284,0.6170906988169678,0.0,0,0,0,1,1,0,1,0.7033974359497902,0.0,0.0,0.10582659464640452,1.0
2024,Botswana,,0.0,,,,,,,0,1,0,0,1,0,1,0.6170906988169678,0.1316757338367247,0.0,0.09593762414848299,0.0
2004,Malawi,,,,,,,,,0,0,0,0,0,0,0,,,,,
2005,Malawi,0.0,0.0,0.0,,,0.0,,0.12281995072458145,1,1,0,0,2,1,1,,,,,0.0
2006,Malawi,0.0,0.0,0.0,,,0.0,,0.08021796109808249,1,1,0,0,2,1,1,0.0,0.0,0.0,,1.0
2007,Malawi,,0.0,,,,,,,0,1,0,0,1,0,1,0.0,0.0,0.0,,1.0
2008,Malawi,0.0,0.016016127350457057,0.0,,,0.0,,0.14680961889052868,1,0,0,0,1,0,1,,0.0,,,0.0
2009,Malawi,0.2073771940736279,0.02097803072192477,0.0,,,0.0,,0.13968413922984158,0,0,0,0,0,0,0,0.0,0.016016127350457057,0.0,,0.0
2010,Malawi,0.19077739688156586,0.011504761676373872,0.0,,,0.0,,0.13834075815135696,0,0,0,0,0,0,0,0.2073771940736279,0.02097803072192477,0.0,,0.0
2011,Malawi,0.1799702216936895,0.0016919339114107531,,,,0.0,,0.023020284968137097,0,0,0,0,0,0,0,0.19077739688156586,0.011504761676373872,0.0,,0.0
2012,Malawi,0.10816588859541078,0.0,0.0,,,0.0,,0.08634704399202198,0,1,0,0,1,0,1,0.1799702216936895,0.0016919339114107531,,,0.0
2013,Malawi,0.0870201028048528,0.003265665917479432,0.0,,,0.0,,0.1912682682868098,0,0,0,0,0,0,0,0.10816588859541078,0.0,0.0,,0.0
2014,Malawi,0.09410294593202678,0.04972853706247989,0.0,,,0.0,,0.3776983419358533,0,0,0,0,0,0,0,0.0870201028048528,0.003265665917479432,0.0,,0.0
2015,Malawi,0.1589793056181344,0.1149561200350388,0.0,,,0.0,,0.1006681935596022,0,0,0,0,0,0,0,0.09410294593202678,0.04972853706247989,0.0,,0.0
2016,Malawi,0.11945392816770654,0.03116717408948315,0.0,,,0.0,,0.007755680372878824,0,0,0,0,0,0,0,0.1589793056181344,0.1149561200350388,0.0,,0.0
2017,Malawi,0.08306334725893086,0.009556118382542703,,,,0.0,,0.00791510727817941,0,0,0,0,0,0,0,0.11945392816770654,0.03116717408948315,0.0,,0.0
2018,Malawi,0.11602158420983916,0.013884179046512143,0.0,,,0.0,,0.011615337796713329,0,0,0,0,0,0,0,0.08306334725893086,0.009556118382542703,,,0.0
2019,Malawi,0.18890659265948212,0.04790887942584307,0.0,,,0.0,,0.015767913100667563,0,0,0,0,0,0,0,0.11602158420983916,0.013884179046512143,0.0,,0.0
2020,Malawi,1.0,0.041754643662117716,0.0,,,0.0,,0.03198515536545477,0,0,0,0,0,0,0,0.18890659265948212,0.04790887942584307,0.0,,0.0
2021,Malawi,0.0,0.0991288653548106,0.0,,,0.0,,0.055000144137911156,1,0,0,0,1,0,1,1.0,0.041754643662117716,0.0,,0.0
2022,Malawi,0.004901816847127914,0.11278437341664371,0.0,,,0.0,,0.6038245549642136,1,0,0,0,1,0,1,0.0,0.0991288653548106,0.0,,0.0
