iteration,Model,AUC,Winner
1,STRUCT,0.8780906593406594,True
1,HYBRID,0.5,False
1,LOGIT,0.6988324175824177,False
2,STRUCT,0.9047619047619048,True
2,HYBRID,0.5,False
2,LOGIT,0.6428571428571428,False
3,STRUCT,0.8066638370118846,True
3,HYBRID,0.5,False
3,LOGIT,0.6873938879456707,False
4,STRUCT,0.7780898876404494,True
4,HYBRID,0.5,False
4,LOGIT,0.4525593008739076,False
5,STRUCT,0.7412008281573499,True
5,HYBRID,0.5,False
5,LOGIT,0.4505693581780539,False
6,STRUCT,0.8607419712070875,True
6,HYBRID,0.5,False
6,LOGIT,0.5966223698781838,False
7,STRUCT,0.8368473895582329,True
7,HYBRID,0.5,False
7,LOGIT,0.446285140562249,False
8,STRUCT,0.8360975609756097,True
8,HYBRID,0.5,False
8,LOGIT,0.6126829268292683,False
9,STRUCT,0.7716577540106951,True
9,HYBRID,0.5,False
9,LOGIT,0.6045454545454545,False
10,STRUCT,0.80995670995671,True
10,HYBRID,0.5,False
10,LOGIT,0.6255411255411256,False
11,STRUCT,0.8262108262108262,True
11,HYBRID,0.5,False
11,LOGIT,0.5878442545109213,False
12,STRUCT,0.833170731707317,True
12,HYBRID,0.5,False
12,LOGIT,0.5341463414634147,False
13,STRUCT,0.8461298377028714,True
13,HYBRID,0.5,False
13,LOGIT,0.4803370786516854,False
14,STRUCT,0.8767379679144385,True
14,HYBRID,0.5,False
14,LOGIT,0.5280748663101604,False
15,STRUCT,0.808641975308642,True
15,HYBRID,0.5,False
15,LOGIT,0.5104463437796771,False
16,STRUCT,0.7854374307862679,True
16,HYBRID,0.5,False
16,LOGIT,0.5130121816168328,False
17,STRUCT,0.8468875502008033,True
17,HYBRID,0.5,False
17,LOGIT,0.5572289156626506,False
18,STRUCT,0.9114434947768282,True
18,HYBRID,0.5,False
18,LOGIT,0.46153846153846156,False
19,STRUCT,0.8674698795180723,True
19,HYBRID,0.5,False
19,LOGIT,0.5622489959839357,False
20,STRUCT,0.8408488063660478,True
20,HYBRID,0.5,False
20,LOGIT,0.5623342175066313,False
