Country Excluded,Model,AUC,AP,Brier,N,Events
Botswana,STRUCT,0.894,0.658,0.106,89,19
Botswana,HYBRID,0.841,0.507,0.132,89,19
Botswana,LOGIT,0.618,0.298,0.212,89,19
Malawi,STRUCT,0.813,0.61,0.145,89,23
Malawi,HYBRID,0.749,0.448,0.17,89,23
Malawi,LOGIT,0.611,0.37,0.201,89,23
Namibia,STRUCT,0.797,0.594,0.152,89,23
Namibia,HYBRID,0.749,0.493,0.165,89,23
Namibia,LOGIT,0.63,0.391,0.256,89,23
South Africa,STRUCT,0.734,0.227,0.111,89,10
South Africa,HYBRID,0.658,0.182,0.105,89,10
South Africa,LOGIT,0.639,0.214,0.12,89,10
Tanzania,STRUCT,0.853,0.636,0.117,89,20
Tanzania,HYBRID,0.812,0.534,0.133,89,20
Tanzania,LOGIT,0.512,0.236,0.223,89,20
Zambia,STRUCT,0.829,0.613,0.126,90,20
Zambia,HYBRID,0.769,0.502,0.141,90,20
Zambia,LOGIT,0.615,0.322,0.203,90,20
