h,Variable,Coefficient
2007,EAR_lag1 (WoE),-0.1568359735582985
2007,ROA_lag1 (WoE),-0.8736596286476609
2007,LLR_lag1 (WoE),0.0
2007,LIQ_lag1 (WoE),-0.1568359735582985
2008,EAR_lag1 (WoE),-0.3924801397453855
2008,ROA_lag1 (WoE),-0.4757201496185417
2008,LLR_lag1 (WoE),0.0
2008,LIQ_lag1 (WoE),-0.3924801397453855
2009,EAR_lag1 (WoE),-0.4314345179948996
2009,ROA_lag1 (WoE),-0.4314345179948996
2009,LLR_lag1 (WoE),0.0
2009,LIQ_lag1 (WoE),-0.4314345179948996
2010,EAR_lag1 (WoE),-0.7954113073414085
2010,ROA_lag1 (WoE),-0.9886517934170408
2010,LLR_lag1 (WoE),0.0
2010,LIQ_lag1 (WoE),-0.04573626063602269
2011,EAR_lag1 (WoE),-1.0277084343633773
2011,ROA_lag1 (WoE),-0.3111248098612236
2011,LLR_lag1 (WoE),0.0
2011,LIQ_lag1 (WoE),0.19486966501723077
2012,EAR_lag1 (WoE),-0.9264591553261637
2012,ROA_lag1 (WoE),-0.7449401458210176
2012,LLR_lag1 (WoE),0.0
2012,LIQ_lag1 (WoE),-0.1123438023843052
2013,EAR_lag1 (WoE),-0.5347715356321172
2013,ROA_lag1 (WoE),-0.2512584934937171
2013,LLR_lag1 (WoE),0.0
2013,LIQ_lag1 (WoE),-0.5388519485665129
2014,EAR_lag1 (WoE),-0.5171074981165549
2014,ROA_lag1 (WoE),-0.5764855660433316
2014,LLR_lag1 (WoE),0.0
2014,LIQ_lag1 (WoE),-0.7966001885097854
2015,EAR_lag1 (WoE),-0.5100043312072411
2015,ROA_lag1 (WoE),-0.6099297294381218
2015,LLR_lag1 (WoE),0.0
2015,LIQ_lag1 (WoE),-0.8117409602106044
2016,EAR_lag1 (WoE),-0.33138414861657184
2016,ROA_lag1 (WoE),-0.28147979373620896
2016,LLR_lag1 (WoE),0.0
2016,LIQ_lag1 (WoE),-0.8549528652949399
2017,EAR_lag1 (WoE),-0.458198771913527
2017,ROA_lag1 (WoE),-0.4080000926382137
2017,LLR_lag1 (WoE),0.0
2017,LIQ_lag1 (WoE),-0.6786131636216145
2018,EAR_lag1 (WoE),-0.3683167149131145
2018,ROA_lag1 (WoE),-0.30217124744162793
2018,LLR_lag1 (WoE),0.0
2018,LIQ_lag1 (WoE),-0.7353410100709792
2019,EAR_lag1 (WoE),-0.6594422985076566
2019,ROA_lag1 (WoE),-0.42385500602315257
2019,LLR_lag1 (WoE),0.0
2019,LIQ_lag1 (WoE),-0.5476259035334264
2020,EAR_lag1 (WoE),-0.5243023880396591
2020,ROA_lag1 (WoE),-0.4334023801015102
2020,LLR_lag1 (WoE),0.0
2020,LIQ_lag1 (WoE),-0.6400665313183485
2021,EAR_lag1 (WoE),-0.9607517374210329
2021,ROA_lag1 (WoE),-0.3050283336783354
2021,LLR_lag1 (WoE),0.0
2021,LIQ_lag1 (WoE),-0.4974244366902814
2022,EAR_lag1 (WoE),-0.882584303790551
2022,ROA_lag1 (WoE),-0.21164313318388492
2022,LLR_lag1 (WoE),0.0
2022,LIQ_lag1 (WoE),-0.41453249165466444
2023,EAR_lag1 (WoE),-0.855677780592472
2023,ROA_lag1 (WoE),-0.18463996966698698
2023,LLR_lag1 (WoE),0.0
2023,LIQ_lag1 (WoE),-0.5687653578741196
2024,EAR_lag1 (WoE),-0.8328780904482807
2024,ROA_lag1 (WoE),-0.2385894798073088
2024,LLR_lag1 (WoE),0.0
2024,LIQ_lag1 (WoE),-0.6083693380919727
